id_linea,nombre_linea,modo,id_linea_agg,nombre_linea_agg
332,Línea 080,COL,,
333,Línea 503C,COL,,
334,Línea 740,COL,,
335,Línea 509,COL,,
336,Línea 501I,COL,,
337,Línea 506F,COL,,
338,Línea 314,COL,,
339,Línea 110,COL,,
340,Línea 307,COL,,
341,Línea 103,COL,,
342,Línea 502,COL,,
343,Línea 501,COL,,
344,Línea 101,COL,,
345,Línea 28,COL,,
346,Línea 204,COL,,
347,Línea 228C,COL,,
348,Línea 228E,COL,,
349,Línea 505A,COL,,
350,Línea 505C,COL,,
351,Línea 508A,COL,,
352,Línea 123,COL,,
353,Línea 513A,COL,,
354,Línea 056,COL,,
355,Línea 118,COL,,
356,Línea 500,COL,,
357,Línea 313,COL,,
358,Línea 350,COL,,
359,Línea 355,COL,,
360,Línea 501H,COL,,
361,Línea 506B,COL,,
362,Línea 42,COL,,
363,Línea 512,COL,,
364,Línea 561,COL,,
365,Línea 562,COL,,
366,Línea 095,COL,,
367,Premetro,COL,,
368,Línea 298,COL,,
369,Línea 317,COL,,
370,Línea 057,COL,,
371,Línea 624,COL,,
372,Línea 635,COL,,
373,Línea 115,COL,,
374,Línea 026,COL,,
375,Línea 503 (este),COL,,
376,Línea 037,COL,,
377,Línea 511,COL,,
378,Línea 293A,COL,,
379,Línea 509C,COL,,
380,Tren Roca (Cañuelas-Lobos),TRE,5000.0,Tren Roca
381,Línea 302,COL,,
382,Línea 075,COL,,
383,Línea 583,COL,,
384,Línea 549,COL,,
385,Línea 175,COL,,
386,Tren del Valle,TRE,386.0,Tren del Valle
387,Línea 515,COL,,
388,Línea 169,COL,,
389,Línea 501E,COL,,
390,Línea 504C,COL,,
391,Línea 508,COL,,
392,Línea 436,COL,,
393,Línea 510A,COL,,
394,Línea 410,COL,,
395,Línea 429,COL,,
396,Línea 564,COL,,
397,Línea 128,COL,,
398,Línea 158,COL,,
399,Línea 522,COL,,
400,Línea 527,COL,,
401,Línea 506,COL,,
402,Línea 507,COL,,
