id_linea,nombre_linea,modo,id_ramal,nombre_ramal,ramal,provincia,municipio,id_linea_agg,nombre_linea_agg
35,LINEA 306,COL,35,306F,PUENTE LA NORIA - ZAIZAR,BUENOS AIRES,PROV,,
35,LINEA 306,COL,35,306G,PUENTE LA NORIA - LA ESPERANZA,BUENOS AIRES,PROV,,
36,LINEA 461,COL,36,461A,A_X BONORINO,BUENOS AIRES,PROV,,
36,LINEA 461,COL,36,461B,Troncal,BUENOS AIRES,PROV,,
37,LINEA 462,COL,37,462A,Est Moron-Uspallata y Necochea,BUENOS AIRES,PROV,,
38,LINEA 463,COL,38,463A,Barrio Destino,BUENOS AIRES,PROV,,
38,LINEA 463,COL,38,463B,Acassuso,BUENOS AIRES,PROV,,
38,LINEA 463,COL,38,463C,Desdoblamiento por Juramento,BUENOS AIRES,PROV,,
38,LINEA 463,COL,38,463D,Desdoblamiento por Ruben Dario,BUENOS AIRES,PROV,,
39,LINEA 372,COL,39,372A,RAMAL QUILMES - BOSQUES,BUENOS AIRES,PROV,,
40,LINEA 584,COL,40,584A,MONTEVIDEO Y CAMINO GRAL BELGRANO-FLORENCIO VARELA Y CALCHAQUI,BUENOS AIRES,QUILMES,,
41,LINEA 159,COL,41,159A,A-A CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - ROTONDA JUAN MARIA GUTIERREZ (PARTIDO DE FLORENCIO VARELA - PROVINCIA DE BUENOS AIRES,JN,JN,,
41,LINEA 159,COL,41,159B,B (por AV LA PLATA) CENTRO CULTURAL KIRCHNER (CABA)-ROTONDA JUAN MARIA GUTIERREZ (PARTIDO DE FLORENCIO VARELA),JN,JN,,
41,LINEA 159,COL,41,159C,C CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - PUEBLO NUEVO (PARTIDO DE BERAZATEGUI - PROVINCIA DE BUENOS AIRES),JN,JN,,
41,LINEA 159,COL,41,159D,D (por AVGENERAL BARTOLOME MITRE) CENTRO CULTURAL KIRCHNER (CABA) - CRUCE FLORENCIO VARELA (PARTIDO DE FLORENCIO VARELA) GBA,JN,JN,,
41,LINEA 159,COL,41,159E,E CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - ESTACION BERAZATEGUI (LINEA ROCA - PARTIDO DE BERAZATEGUI - PROVINCIA DE BUENOS AIRES),JN,JN,,
41,LINEA 159,COL,41,159F,F CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - BARRIO GRAFICO (PARTIDO DE AVELLANEDA - PROVINCIA DE BUENOS AIRES),JN,JN,,
