id,id_tarjeta,modo,lat,lon,sexo,interno_bus,tipo_trx_tren,etapa_red_sube,id_linea,id_ramal,id_tarifa,hora,fecha
2277509,39424206.0,COL,-34.58,-58.444,,974.0,,0,207,207,1,7,28/11/2019
2277510,39424206.0,COL,-34.542,-58.474,,2843.0,,0,177,177,1,12,28/11/2019
2277819,39424839.0,COL,-34.604,-58.46,,1736.0,,0,326,326,1,9,28/11/2019
2277820,39424839.0,COL,-34.612,-58.456,,1730.0,,0,184,184,1,17,28/11/2019
2278453,39426595.0,COL,-34.582,-58.448,M,3162.0,,0,207,207,1,14,28/11/2019
2279578,39430421.0,COL,-34.72,-58.72,,570.0,,0,163,163,1,12,28/11/2019
2279579,39430421.0,COL,-34.72,-58.72,,5.0,,1,162,162,1,14,28/11/2019
2279580,39430421.0,COL,-34.764,-58.72,,366.0,,0,162,162,1,17,28/11/2019
2279972,39433773.0,COL,-34.578,-58.43,,3570.0,,0,223,223,1,8,28/11/2019
2280197,39435054.0,SUB,-34.628,-58.382,,,,0,32,269,1,6,28/11/2019
2280198,39435054.0,SUB,-34.598,-58.44,,,,0,32,33,1,18,28/11/2019
2280199,39435054.0,TRE,-34.628,-58.38,,,CHECK IN,1,16,16,1,19,28/11/2019
2280200,39435054.0,TRE,-34.79,-58.204,,,CHECK OUT,1,16,16,1,20,28/11/2019
2280947,39442199.0,SUB,-34.62,-58.442,,,,0,32,32,1,8,28/11/2019
2280948,39442199.0,SUB,-34.608,-58.374,,,,0,32,32,1,19,28/11/2019
2283839,39455434.0,COL,-34.674,-58.568,F,1226.0,,0,371,371,5,11,28/11/2019
2285434,39462070.0,COL,-34.76,-58.396,M,407.0,,0,114,114,1,10,28/11/2019
2285435,39462070.0,COL,-34.76,-58.396,M,4152.0,,1,114,114,1,14,28/11/2019
2286664,39467080.0,COL,-34.732,-58.464,F,3653.0,,0,273,273,5,6,28/11/2019
2286665,39467080.0,COL,-34.706,-58.456,F,1473.0,,1,345,345,5,7,28/11/2019
2286666,39467080.0,COL,-34.544,-58.486,F,355.0,,2,325,325,5,8,28/11/2019
2286667,39467080.0,COL,-34.538,-58.474,F,2342.0,,1,345,345,5,15,28/11/2019
2286668,39467080.0,COL,-34.71,-58.458,F,2093.0,,0,273,273,5,18,28/11/2019
2291842,39485727.0,COL,-34.724,-58.26,F,1558.0,,0,113,113,8,12,28/11/2019
2292946,39487996.0,SUB,-34.624,-58.448,M,,,0,32,32,1,14,28/11/2019
2292947,39487996.0,SUB,-34.61,-58.382,M,,,0,32,32,1,15,28/11/2019
2293832,39490160.0,COL,-34.676,-58.526,,2986.0,,0,304,304,1,12,28/11/2019
2293833,39490160.0,SUB,-34.63,-58.47,,,,1,32,32,1,13,28/11/2019
2293834,39490160.0,COL,-34.586,-58.398,,3267.0,,0,90,90,1,15,28/11/2019
2293835,39490160.0,COL,-34.622,-58.442,,2052.0,,0,304,304,1,17,28/11/2019
2293836,39490160.0,SUB,-34.61,-58.382,,,,1,32,32,1,17,28/11/2019
2294139,39490857.0,COL,-34.676,-58.398,,3528.0,,0,397,397,1,14,28/11/2019
2295070,39492994.0,COL,-34.888,-58.412,M,1122.0,,0,47,47,1,12,28/11/2019
2295071,39492994.0,COL,-34.86,-58.388,M,672.0,,0,47,47,1,17,28/11/2019
2299139,39505107.0,COL,-34.622,-58.436,F,2017.0,,0,320,320,1,12,28/11/2019
2299140,39505107.0,COL,-34.616,-58.464,F,169.0,,0,182,182,1,20,28/11/2019
2299141,39505107.0,COL,-34.618,-58.506,F,4540.0,,0,182,182,1,21,28/11/2019
2299531,39507020.0,COL,-34.658,-58.762,M,1866.0,,0,237,237,4,7,28/11/2019
2299532,39507020.0,COL,-34.664,-58.728,M,4639.0,,2,152,152,4,8,28/11/2019
2299533,39507020.0,COL,-34.698,-58.762,M,493.0,,1,155,155,4,8,28/11/2019
2299534,39507020.0,COL,-34.666,-58.726,M,2861.0,,1,265,265,4,19,28/11/2019
2299535,39507020.0,COL,-34.626,-58.714,M,4375.0,,0,152,152,4,19,28/11/2019
2300491,39513156.0,COL,-34.812,-58.334,,4044.0,,0,88,88,1,7,28/11/2019
2301024,39515916.0,SUB,-34.624,-58.402,M,,,0,32,220,1,8,28/11/2019
2301857,39519547.0,COL,-34.678,-58.4,M,3078.0,,0,397,397,1,9,28/11/2019
2301858,39519547.0,COL,-34.61,-58.422,M,3263.0,,0,397,397,1,17,28/11/2019
2302028,39520505.0,COL,-34.726,-58.59,,384.0,,0,69,69,1,5,28/11/2019
2302029,39520505.0,COL,-34.666,-58.44,,3778.0,,1,373,373,1,6,28/11/2019
2302030,39520505.0,TRE,-34.65,-58.414,,,CHECK IN,0,44,44,1,14,28/11/2019
2302031,39520505.0,TRE,-34.752,-58.584,,,CHECK OUT,0,44,44,1,15,28/11/2019
2302549,39523186.0,COL,-34.622,-58.402,,1269.0,,0,11,11,1,14,28/11/2019
2302878,39524778.0,TRE,-34.798,-58.43,M,,CHECK IN,0,16,16,15,6,28/11/2019
2302879,39524778.0,COL,,,M,964.0,,1,50,50,15,7,28/11/2019
2302880,39524778.0,TRE,-34.628,-58.38,M,,CHECK OUT,0,16,16,15,7,28/11/2019
2302881,39524778.0,COL,-34.794,-58.434,M,4278.0,,0,365,365,15,21,28/11/2019
2303723,39529212.0,COL,-34.71,-58.456,F,2261.0,,0,106,106,8,12,28/11/2019
2303724,39529212.0,COL,-34.76,-58.428,F,428.0,,0,106,106,8,16,28/11/2019
2306326,39542755.0,TRE,-34.588,-58.374,,,CHECK OUT,0,196,196,1,8,28/11/2019
2306327,39542755.0,SUB,-34.592,-58.374,,,,1,32,269,1,8,28/11/2019
2306328,39542755.0,TRE,-34.532,-58.524,,,CHECK IN,0,196,196,1,8,28/11/2019
2306329,39542755.0,TRE,-34.588,-58.374,,,CHECK IN,0,196,196,1,14,28/11/2019
2306330,39542755.0,TRE,-34.532,-58.524,,,CHECK OUT,0,196,196,1,15,28/11/2019
2306382,39543033.0,COL,-34.468,-58.91,,1352.0,,0,127,127,1,4,28/11/2019
2306383,39543033.0,COL,-34.404,-58.958,,4359.0,,0,127,127,1,18,28/11/2019
2307769,39551715.0,TRE,-34.628,-58.38,,,CHECK IN,1,16,16,1,5,28/11/2019
2307770,39551715.0,COL,-34.6,-58.386,,4562.0,,0,48,48,1,5,28/11/2019
2307771,39551715.0,COL,-34.72,-58.262,,1355.0,,2,115,115,1,6,28/11/2019
2307772,39551715.0,TRE,-34.726,-58.26,,,CHECK OUT,1,16,16,1,6,28/11/2019
2307773,39551715.0,COL,-34.772,-58.28,,3987.0,,0,41,41,1,21,28/11/2019
2307774,39551715.0,SUB,-34.602,-58.37,,,,1,32,33,1,22,28/11/2019
2308283,39556206.0,COL,-34.828,-58.286,F,1128.0,,0,225,225,5,8,28/11/2019
2308284,39556206.0,TRE,-34.812,-58.272,F,,CHECK IN,1,16,16,5,8,28/11/2019
2308285,39556206.0,TRE,-34.628,-58.38,F,,CHECK OUT SIN CHECKIN,0,16,16,5,9,28/11/2019
2308286,39556206.0,TRE,-34.628,-58.38,F,,CHECK OUT,1,16,16,5,9,28/11/2019
2308287,39556206.0,TRE,-34.628,-58.38,F,,CHECK IN,0,16,16,5,12,28/11/2019
2308288,39556206.0,COL,-34.83,-58.29,F,1744.0,,0,225,225,5,13,28/11/2019
2308289,39556206.0,COL,-34.808,-58.272,F,2864.0,,0,225,225,5,13,28/11/2019
2308290,39556206.0,TRE,-34.812,-58.272,F,,CHECK OUT,0,16,16,5,13,28/11/2019
2308291,39556206.0,TRE,-34.812,-58.272,F,,CHECK OUT SIN CHECKIN,0,16,16,5,13,28/11/2019
2308292,39556206.0,TRE,-34.692,-58.326,F,,CHECK IN,0,16,16,5,16,28/11/2019
2308293,39556206.0,TRE,-34.812,-58.272,F,,CHECK OUT,0,16,16,5,17,28/11/2019
2308294,39556206.0,COL,-34.808,-58.278,F,1354.0,,1,225,225,5,17,28/11/2019
2308398,39556691.0,COL,-34.602,-58.37,F,854.0,,1,216,216,8,10,28/11/2019
2308399,39556691.0,COL,-34.65,-58.346,F,1079.0,,0,216,216,8,11,28/11/2019
2310009,39565489.0,COL,-34.602,-58.476,M,1111.0,,0,6,6,1,9,28/11/2019
2310010,39565489.0,SUB,-34.608,-58.374,M,,,0,32,54,1,19,28/11/2019
2310011,39565489.0,COL,-34.606,-58.454,M,4390.0,,1,6,6,1,22,28/11/2019
2310012,39565489.0,COL,-34.578,-58.426,M,2794.0,,0,290,290,1,22,28/11/2019
2310521,39568841.0,COL,-34.902,-58.696,F,4674.0,,0,58,58,4,8,28/11/2019
2310522,39568841.0,COL,-35.056,-58.756,F,3570.0,,0,58,58,4,9,28/11/2019
2311422,39573414.0,COL,-34.78,-58.624,F,147.0,,0,52,52,3,7,28/11/2019
2311423,39573414.0,COL,-34.56,-58.474,F,4716.0,,0,55,55,3,13,28/11/2019
2311424,39573414.0,COL,-34.64,-58.532,F,273.0,,2,58,58,3,14,28/11/2019
2311425,39573414.0,COL,-34.54,-58.5,F,1332.0,,1,150,150,3,14,28/11/2019
2312001,39576077.0,COL,-34.766,-58.488,F,4151.0,,0,35,35,5,8,28/11/2019
2312002,39576077.0,COL,-34.708,-58.454,F,669.0,,1,327,327,5,9,28/11/2019
2312003,39576077.0,COL,-34.61,-58.408,F,4024.0,,2,3,3,5,10,28/11/2019
2312004,39576077.0,COL,-34.648,-58.416,F,1228.0,,1,345,345,5,18,28/11/2019
2312005,39576077.0,COL,-34.604,-58.42,F,34.0,,0,397,397,5,18,28/11/2019
2312006,39576077.0,COL,-34.708,-58.456,F,2794.0,,2,35,35,5,19,28/11/2019
2312504,39578586.0,COL,-34.458,-58.632,F,2014.0,,1,188,188,1,17,28/11/2019
2312505,39578586.0,COL,-34.46,-58.634,F,463.0,,0,260,260,1,20,28/11/2019
2312949,39581161.0,TRE,-34.808,-58.214,,,CHECK IN,0,16,16,1,14,28/11/2019
2312950,39581161.0,TRE,-34.764,-58.206,,,CHECK OUT,0,16,16,1,15,28/11/2019
2312951,39581161.0,TRE,-34.764,-58.206,,,CHECK IN,0,16,16,1,15,28/11/2019
2312952,39581161.0,TRE,-34.808,-58.214,,,CHECK OUT,0,16,16,1,15,28/11/2019
2315360,39594862.0,COL,-34.588,-58.42,M,775.0,,0,339,339,1,8,28/11/2019
2315361,39594862.0,COL,-34.584,-58.39,M,3715.0,,0,339,339,1,17,28/11/2019
2317714,137037956.0,COL,-34.642,-58.716,,4068.0,,0,152,152,1,9,28/11/2019
2317715,137037956.0,COL,-34.664,-58.728,,4068.0,,0,152,152,1,10,28/11/2019
2320133,137061080.0,COL,-34.498,-58.752,,846.0,,0,130,130,1,9,28/11/2019
2320134,137061080.0,COL,-34.484,-58.728,,3811.0,,0,130,130,1,17,28/11/2019
2320895,137066107.0,COL,-34.656,-58.406,F,2300.0,,0,102,102,3,9,28/11/2019
2320896,137066107.0,COL,-34.592,-58.376,F,2091.0,,0,102,102,3,16,28/11/2019
2322836,137321572.0,TRE,-34.588,-58.374,,,CHECK OUT,0,196,196,1,10,28/11/2019
2322837,137321572.0,TRE,-34.524,-58.546,,,CHECK IN,0,196,196,1,10,28/11/2019
2322838,137321572.0,COL,-34.59,-58.372,,2321.0,,1,266,266,1,10,28/11/2019
2322839,137321572.0,COL,-34.638,-58.382,,1743.0,,0,266,266,1,12,28/11/2019
2322840,137321572.0,TRE,-34.588,-58.374,,,CHECK IN,1,196,196,1,13,28/11/2019
2322841,137321572.0,TRE,-34.524,-58.546,,,CHECK OUT,1,196,196,1,13,28/11/2019
2322981,137322488.0,COL,-34.786,-58.248,M,4224.0,,0,319,319,4,5,28/11/2019
2322982,137322488.0,COL,-34.81,-58.274,M,2303.0,,0,225,225,4,15,28/11/2019
2323869,137327583.0,COL,-34.716,-58.798,F,3444.0,,0,155,155,1,5,28/11/2019
